mol_name,activity,potency
CHEMBL4175049,Active,6.017728766960431
CHEMBL2386348,Active,7.481486060122112
CHEMBL4856044,Active,5.924453038607469
CHEMBL3650023,Active,7.4089353929735005
CHEMBL3649917,Active,7.376750709602099
CHEMBL3691741,Active,9.275724130399212
CHEMBL3653320,Active,9.0
CHEMBL3220096,Active,6.154901959985743
CHEMBL3653191,Active,9.795880017
CHEMBL3407566,Active,8.744727494896694
CHEMBL3799179,Active,5.234256958578955
CHEMBL3653262,Active,8.958607314841775
CHEMBL3687247,Active,8.522878745280337
CHEMBL3703324,Active,7.27083521030723
CHEMBL3220089,Active,6.638272163982407
CHEMBL3318766,Active,9.193820026016112
CHEMBL207202,Active,5.621602099051862
CHEMBL3687255,Active,8.09151498112135
CHEMBL3265102,Active,6.721246399047171
CHEMBL3288448,Active,7.3872161432802645
CHEMBL3649853,Active,8.698970004336019
CHEMBL3703360,Active,7.7121982700697735
CHEMBL3704528,Active,6.301029995663981
CHEMBL3656996,Active,8.87942606879415
CHEMBL3691726,Active,9.258848401148216
CHEMBL3691701,Active,8.537602002101044
CHEMBL3260819,Active,8.397940008672037
CHEMBL3355423,Active,5.042967683653061
CHEMBL3703353,Active,7.096367483915762
CHEMBL3797254,Active,5.059782444400264
CHEMBL3797513,Active,7.376750709602099
CHEMBL3683119,Active,6.938170692705301
CHEMBL3691737,Active,9.527243551
CHEMBL5185334,Active,7.0
CHEMBL3691759,Active,9.498940737782249
CHEMBL3236635,Active,9.022276394711152
CHEMBL3657119,Active,9.3829996588791
CHEMBL3691748,Active,9.6345120151091
CHEMBL3639488,Active,7.286089646
CHEMBL3653300,Active,8.73754891026957
CHEMBL3653241,Active,7.928117992693874
CHEMBL3683162,Active,8.744727494896694
CHEMBL3233593,Active,5.4089353929735005
CHEMBL4109826,Active,5.522878745280337
CHEMBL3236660,Active,8.978810700930062
CHEMBL3653179,Active,9.886056647693163
CHEMBL3649818,Active,7.795880017344075
CHEMBL3683133,Active,8.327902142064282
CHEMBL3687235,Active,7.503070351926785
CHEMBL3665595,Active,6.989466842344068
CHEMBL3687274,Active,7.675717544702307
CHEMBL5199202,Active,8.55284196865778
CHEMBL3693958,Active,5.301029995663981
CHEMBL4800669,Active,7.484126156288321
CHEMBL3649951,Active,9.0
CHEMBL3675210,Active,6.292429823902063
CHEMBL3647057,Active,9.0
CHEMBL5180602,Active,5.6777807052660805
CHEMBL3265097,Active,6.552841968657781
CHEMBL1471740,Active,6.494850021680094
CHEMBL3647056,Active,8.397940008672037
CHEMBL4171605,Active,6.207608310501746
CHEMBL3125702,Active,7.913373267043839
CHEMBL3109040,Active,8.154901959985743
CHEMBL3703359,Active,8.323306390375134
CHEMBL3653231,Active,10.154901959985743
CHEMBL3649985,Active,8.602059991327963
CHEMBL3683144,Active,7.8124792791635365
CHEMBL4084744,Active,7.289036881004725
CHEMBL3653180,Active,9.698970004336019
CHEMBL3649978,Active,8.522878745280337
CHEMBL3703358,Active,6.375717904164332
CHEMBL3653269,Active,9.207608310501746
CHEMBL3407564,Active,9.67778070526608
CHEMBL3691744,Active,9.920818753952375
CHEMBL2386349,Active,7.853871964321762
CHEMBL3649921,Active,7.065501548756432
CHEMBL3653277,Active,8.63264407897398
CHEMBL3125519,Active,9.698970004336019
CHEMBL209201,Active,5.568636235841012
CHEMBL3653226,Active,9.853871964321762
CHEMBL4176936,Active,6.494850021680094
CHEMBL3653167,Active,9.698970004336019
CHEMBL3800127,Active,6.841637508
CHEMBL3687312,Active,9.09963287134353
CHEMBL5187340,Active,11.721246399047171
CHEMBL3653286,Active,9.187086643357144
CHEMBL3654192,Active,8.522878745280337
CHEMBL3683131,Active,6.216668237112576
CHEMBL3687245,Active,8.537602002101044
CHEMBL3109047,Active,7.2839966563652006
CHEMBL3703346,Active,7.913462216246793
CHEMBL4173382,Active,6.0
CHEMBL3639627,Active,6.0
CHEMBL3649984,Active,8.22184875
CHEMBL3683177,Active,8.387216143280265
CHEMBL4074176,Active,6.167491087293763
CHEMBL3653213,Active,9.55284196865778
CHEMBL3687292,Active,8.744727494896694
CHEMBL3649930,Active,8.221848749616356
CHEMBL3657098,Active,9.379863945026242
CHEMBL3687228,Active,8.397940008672037
CHEMBL4111476,Active,6.0
CHEMBL3653224,Active,9.148741651280925
CHEMBL1688251,Active,6.154901959985743
CHEMBL3233049,Active,9.096910013008056
CHEMBL3109049,Active,7.7447274948966935
CHEMBL4175068,Active,5.7447274948966935
CHEMBL3647047,Active,9.0
CHEMBL3657065,Active,9.55284196865778
CHEMBL3799491,Active,6.521433504406156
CHEMBL3683112,Active,6.204815410317575
CHEMBL3649824,Active,8.045757490560675
CHEMBL4436445,Active,8.221848749616356
CHEMBL3657054,Active,6.8460327783545205
CHEMBL3653298,Active,8.619788758288394
CHEMBL3663875,Active,6.0
CHEMBL3657103,Active,9.453457336521868
CHEMBL3649892,Active,8.522878745280337
CHEMBL3653260,Active,9.55284196865778
CHEMBL1689394,Active,7.214670164989233
CHEMBL3675201,Active,6.425968731999999
CHEMBL3318767,Active,10.017728766960431
CHEMBL3653319,Active,9.0
CHEMBL3650071,Active,6.274905478918531
CHEMBL3288449,Active,7.619788758288394
CHEMBL3318783,Active,10.229147988357855
CHEMBL3647046,Active,9.0
CHEMBL5273773,Active,7.045757490560675
CHEMBL3944856,Active,8.397940008672037
CHEMBL4166720,Active,6.47755576649368
CHEMBL3691767,Active,9.88941028970075
CHEMBL1689395,Active,7.1487416512809245
CHEMBL4448426,Active,5.3829996588791005
CHEMBL3703351,Active,7.59785329789505
CHEMBL1688276,Active,6.511449283499555
CHEMBL3654183,Active,8.397940008672037
CHEMBL3691773,Active,6.573863011213576
CHEMBL4075234,Active,5.3585258894959
CHEMBL4165669,Active,6.164309428507575
CHEMBL3233139,Active,8.55284196865778
CHEMBL3653338,Active,7.552841969
CHEMBL1834373,Active,6.562249437179612
CHEMBL3650069,Active,6.801342913045577
CHEMBL3691794,Active,8.671620396561263
CHEMBL3650060,Active,6.142667503999999
